phrase,region_id,region_name,count,types,seeds
"deepseek v4","225","Россия","10002","top","deepseek"
"дипстик","225","Россия","9983","association","deepseek|дипсик"
"оживить фото нейросеть бесплатно без регистрации","225","Россия","9929","top","бесплатные нейросети"
"gemini com","225","Россия","9879","top","gemini"
"терминатор все части","225","Россия","9807","association","gemini"
"бесплатные нейросети на русском языке","225","Россия","9783","top","бесплатные нейросети"
"нейросеть педагога","225","Россия","9775","association","локальные нейросети"
"deepseek на русском","225","Россия","9771","top","deepseek"
"нейросеть создать видео бесплатно","225","Россия","9745","top","бесплатные нейросети"
"учз","225","Россия","9738","association","n8n"
"ии нейросеть фото онлайн бесплатно","225","Россия","9632","top","бесплатные нейросети"
"мультимания","225","Россия","9631","association","мультиагентные системы"
"порно нейросеть бесплатно","225","Россия","9613","top","бесплатные нейросети"
"no such file or directory","225","Россия","9606","association","cursor ai"
"перплексити нейросеть","225","Россия","9589","association","api нейросети|vps для нейросети|бенчмарк нейросетей|локальные нейросети|мошенничество с нейросетями|нейросеть для кода|сравнение нейросетей"
"сгенерировать фото нейросетью онлайн бесплатно","225","Россия","9582","top","бесплатные нейросети"
